__version__;_id;_index;_submission_time;_uuid;_validation_status;able_to_observe_toilet;age_of_respondent;area;cant_access_money_for_toilet;cant_afford_toilet;cleaned_toilet;cleanliness_of_neighborhood;cleanliness_of_pan;cleanliness_of_slab;community;community_other;concerns_about_using_ctg_toilet;concerns_about_using_ctg_toilet_specify;container_replaced_freq_ctg;cost_per_month;cost_per_month_endline;cost_per_other;cost_per_use;cost_per_week;ctg_cleanliness;ctg_information_family;ctg_information_friend;ctg_information_neighbour;ctg_information_other;ctg_information_other_specify;ctg_information_salesagent;ctg_information_source;ctg_information_spouse;ctg_issues;ctg_issues_excessive_smell_when_open;ctg_issues_full;ctg_issues_leaking;ctg_issues_none;ctg_issues_smells_when_closed;ctg_recommendation;ctg_recommendation_family;ctg_recommendation_friend;ctg_recommendation_neighbour;ctg_recommendation_none;ctg_recommendation_other;ctg_recommendation_other_specify;customer.available.and.over.18;customer.willing.to.participate;date;dce1;dce10;dce11;dce12;dce13;dce14;dce15;dce16;dce2;dce3;dce4;dce5;dce6;dce7;dce8;dce9;development_priority_of_neighborhood;deviceid;displaytenant;district;door_lockable_inside;door_lockable_outside;electricity_situation;employment_type;ever_unable_to_use_ctg;ever_unable_to_use_ctg_specify;exclusion_from_toilet_usage;exclusion_from_toilet_usage_reason;fear_of_being_removed;female_<_5_years;female_>_1_8_years;female_5_1_8_years;fuel_used_for_cooking;functioning_toilet;functioning_toilet_isctg;handwashing_facility;highest_level_of_education;house_ownership;how_likely_to_recommend_clean_team;howmanyoppositesex;image_of_CTGtoilet;image_of_house;is_ctg_available;knowledge_of_toilet_sharing;landlord_residence;location_of_water_source;main_material_of_floor;main_material_of_roof;main_material_of_wall;male_<_5_years;male_>_1_8_years;male_5_1_8_years;management_of_children_feces;marital_status;mechanical_emptying;number_households_sharing;number_of_households;number_of_rooms;numeber_of_daily_toilet_usage;odour_control_agents_ash;odour_control_agents_baseline;odour_control_agents_chemicals;odour_control_agents_endline;odour_control_agents_other_baseline;odour_control_agents_other_endline;odour_control_agents_other_specify;odour_control_agents_ash;odour_control_baseline;odour_control_endline;pan_material;people_using_ctg;perception_about_neighborhood;pit_lining;pit_lining_other;presence_of_drain;presence_of_paved_road;presence_of_street_lights;primary_solidwaste_collection;random_wtp_1;random_wtp_2;random_wtp_3;rent_paid;safety_of_neighborhood;sanqol_assault;sanqol_assault_young;sanqol_cleanliness;sanqol_cleanliness_young;sanqol_convenience;sanqol_convenience_young;sanqol_cost;sanqol_cost_young;sanqol_disgust;sanqol_disgust_young;sanqol_health;sanqol_health_young;sanqol_privacy;sanqol_privacy_young;sanqol_proud;sanqol_proud_young;sanqol_safety;sanqol_safety_young;sanqol_shame;sanqol_shame_young;sanqol_smell;sanqol_smell_young;satisfaction_avoiding_unpleasant_odour;satisfaction_avoiding_unpleasant_odour_not_in_use;satisfaction_combine_duities_and_using_toilet;satisfaction_manage_menstrual_hygiene;satisfaction_towards_cost_of_latrine_usage;satisfaction_towards_ease_to_access;satisfaction_towards_ease_to_use;satisfaction_towards_privacy_of_toilet_use;satisfaction_towards_toilet_cleanliness;satisfaction_towards_toilet_uncomfortabity;selectrandomperson;sex_mainrespondent;sharing_of_toilet_baseline;sharing_of_toilet_endline;simserial;slab_material;slab_material_other;smell_reduction_system;smell_reduction_system_none;smell_reduction_system_other;smell_reduction_system_other_specify;smell_reduction_system_pipe;smell_reduction_system_simplecover;smell_reduction_system_waterseal;smell_reduction_system_window_or_vent;soap_for_handwashing;source_of_water_for_drinking;source_of_water_for_other_purposes;survey.start.time;time;time_to_access_toilet;time_to_get_water;toilet_door;toilet_location_baseline;toilet_location_ctg;toilet_on_compound_cant_use;toilet_public_usage_baseline;toilet_public_usage_endline;toilet_roof;toilet_scrubbedmopped_frequency;toilet_use_payment_option;toilet_use_payment_option_other;toilet_walls;type_of_toilet;type_of_toilet_001;type_of_toilet_other;type_of_toilet_other_001;urinate_or_defecate_at_night;urinate_or_defecate_at_night_use_ctg;use_non_ctg_toilet;vas1;vas2;vas3;vas4;wait_for_replacement_ctg;water_for_handwashing;why_not_observed;why_not_use_a_toilet;why_not_use_a_toilet_other;why_not_use_household_toilets;why_not_use_household_toilets_other;wtp_carrying;wtp_carrying_10;wtp_carrying_15;wtp_carrying_5;wtp_enclosure;wtp_enclosure_10;wtp_enclosure_15;wtp_enclosure_5;wtp_frequency;wtp_frequency_10;wtp_frequency_15;wtp_frequency_5;years_living_in_current_house;household_size;adults;kids;sanqol_assault_num;sanqol_cleanliness_num;sanqol_convenience_num;sanqol_cost_num;sanqol_disgust_num;sanqol_health_num;sanqol_privacy_num;sanqol_proud_num;sanqol_safety_num;sanqol_shame_num;sanqol_smell_num;satisfaction_towards_privacy_of_toilet_use_num;satisfaction_towards_toilet_cleanliness_num;satisfaction_combine_duities_and_using_toilet_num;sanqol_rawindex;sanqol_rawscore;cost_per_month_public_baseline
vCHaYUC7y3rGqq9dqgj8dq;58163399;2;2019-06-13T13:27:23;cec83760-6ef7-477a-ad98-e4c52fd05707;NA;No;60;Afrancho;Don't Know;No;Several times a week;Yes;Appears clean;Appears clean;Afrancho;NA;NA;NA;NA;NA;0.5;NA;0.5;NA;NA;0;0;0;0;NA;1;Sales agent;0;NA;NA;NA;NA;NA;NA;Family member;1;0;0;0;0;NA;Yes;Yes;13.06.2019;A;A;A;B;B;A;B;B;B;B;B;A;B;B;A;B;Security;NA;NA;Suame Municipal;Yes;No;Household meter connection;Self employee/Business;NA;NA;No;NA;No;0;2;0;Charcoal;Yes;NA;Yes;Junior Secondary (P 7-9);Own;Might recommend;NA;1569251565753.jpg;1560420032027.jpg;NA;No;NA;In own yard/plot;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;0;0;No children <5 years present;Married;Yes;NA;8;2;2;0;NA;0;Sawdust;NA;0;NA;1;Don't Know;Yes;other;NA;Yes;NA;NA;No;Yes;Yes;Taken outside the compound to a disposal site by househld members;NA;NA;NA;NA;Yes;0;NA;3;NA;3;NA;2;NA;3;NA;2;NA;3;NA;3;NA;3;NA;3;NA;2;NA;3;NA;NA;NA;3;3;3;4;4;3;NA;Male;Yes;No;3.60E+14;Ceremic;NA;Water seal/Flushing toilet Window/Vent holes;0;0;NA;0;0;1;1;Yes;Sachet water;Piped water, piped into yard/plot;2019-06-13T09:15:43.523Z;0;20;2;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;Yes;Yes;Yes;10;8;8;8;NA;Yes;NA;NA;NA;Household toilet is available but does not function;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;2;2;0;0;0;0;2;0;1;0;0;0;0;1;4;4;NA;0.933333333;14;60
vCHaYUC7y3rGqq9dqgj8dq;58745839;20;2019-06-18T17:37:44;76f32e71-7a4e-4f52-bc2e-9057061435ff;NA;No;80;Aboabo No. 2;Yes;Yes;Twice a week;Yes;Visible feces;Appears dirty or sandy/made of dirt;Aboabo;NA;NA;NA;NA;NA;NA;NA;0.4;NA;NA;1;0;1;0;NA;0;Family member Neighbour;0;NA;NA;NA;NA;NA;NA;Neighbour Friend;0;1;1;0;0;NA;Yes;Yes;18.06.2019;A;A;A;B;B;A;B;B;A;A;B;B;B;B;A;A;Hospital;NA;NA;Asokore Mampong Municipal;No;No;Shared meter connection;Unemployed/housewife;NA;NA;Yes;NA;No;0;1;0;No food cooked in household;Yes;NA;Yes;Junior Secondary (P 7-9);Own;Would recommend;NA;NA;1560869455325.jpg;NA;No;NA;In own yard/plot;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;0;0;Most;Widowed/Divorced/Seperated;Yes;NA;4;3;1;0;NA;0;Sawdust;NA;0;NA;1;No;Yes;other;NA;Yes;NA;NA;No;No;No;Stored at household and collected by a private individual;NA;NA;NA;NA;Yes;0;NA;0;NA;3;NA;3;NA;1;NA;3;NA;3;NA;2;NA;3;NA;0;NA;0;NA;2;NA;NA;NA;1;3;3;4;3;2;NA;Male;Yes;No;3.60E+14;Concrete;NA;Water seal/Flushing toilet Pipe ventilation;0;0;NA;1;0;1;0;Yes;Sachet water;Piped water, piped into yard/plot;2019-06-18T14:22:00.420Z;0;9;2;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I use a bucket at night;Yes;No;8;6;8;5;NA;Yes;NA;NA;NA;Household toilet is available but does not function;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;1;1;0;0;3;0;3;2;0;0;1;0;3;3;4;3;NA;0.666666667;10;12
vCHaYUC7y3rGqq9dqgj8dq;58746020;21;2019-06-18T17:38:31;2f08dba0-8d4f-4145-a2d9-e056651df3d0;NA;No;28;Aboabo No. 2;No;Don't Know;Twice a week;Yes;Visible feces;Appears dirty or sandy/made of dirt;Aboabo;NA;NA;NA;NA;NA;NA;NA;0.3;NA;NA;1;0;0;0;NA;0;Family member;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;18.06.2019;A;B;A;B;A;A;B;B;A;A;B;A;B;B;A;A;Street lights;NA;NA;Asokore Mampong Municipal;Yes;No;Shared meter connection;Self employee/Business;NA;NA;No;NA;No;0;3;0;Charcoal;Yes;NA;Yes;Junior Secondary (P 7-9);Rent;Might recommend;NA;NA;1560872831795.jpg;NA;No;No;Elsewhere;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;0;2;No children <5 years present;Single and never married;Don't Know;NA;8;2;1;0;Chemicals;0;Sawdust;NA;0;NA;1;Yes;Yes;other;NA;Yes;Don’t Know;NA;Yes;No;No;Taken outside the compound to a disposal site by househld members;NA;NA;NA;30;Yes;0;NA;3;NA;3;NA;0;NA;2;NA;2;NA;3;NA;3;NA;3;NA;3;NA;2;NA;0;NA;1;3;4;3;3;3;3;3;NA;Female;Yes;No;3.60E+14;Concrete;NA;Water seal/Flushing toilet Pipe ventilation;0;0;NA;1;0;1;0;Yes;Sachet water;Piped water, piped to public tap/standpipe;2019-06-18T15:15:48.094Z;0;5;15;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;VIP latrine;Flush or pour-flush toilet to septic tank;NA;NA;No, I hold it in;Yes;No;6;5;3;0;NA;Yes;NA;NA;NA;Household toilet is not available in this house;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;5;5;0;0;0;0;0;1;1;0;0;0;0;1;3;3;1;0.866666667;13;45
vCHaYUC7y3rGqq9dqgj8dq;65589060;168;2019-08-24T07:34:15;75e10a99-6f59-4f3d-8f3a-cecaf446d514;NA;No;58;Kotoko;NA;NA;Twice a week;Yes;NA;NA;Aboabo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;NA;1;Neighbour Sales agent;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;22.08.2019;A;B;B;A;A;A;A;A;B;A;B;A;A;A;A;A;Job for the youth;NA;NA;Asokore Mampong Municipal;NA;NA;Shared meter connection;Self employee/Business;NA;NA;No;NA;No;0;1;0;Charcoal;Yes;NA;NA;None;Other;Would recommend;NA;NA;1566494667387.jpg;NA;NA;NA;In own yard/plot;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;1;0;No children <5 years present;Married;Yes;NA;20;1;NA;0;NA;0;Sawdust;NA;0;NA;1;No;Yes;NA;NA;Yes;Don’t Know;NA;Yes;Yes;Yes;Stored at household and collected by a private individual;NA;NA;NA;NA;Yes;2;NA;1;NA;3;NA;0;NA;2;NA;2;NA;0;NA;0;NA;1;NA;1;NA;2;NA;3;NA;4;4;NA;3;3;3;3;3;NA;Female;No;No;3.60E+14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sachet water;Piped water, piped to public tap/standpipe;2019-08-22T17:02:49.862Z;0;2;2;NA;Elsewhere;NA;Yes;No;No;NA;Once a day;None;NA;NA;Flush or pour-flush toilet to pit latrine;NA;NA;NA;No, I use another toilet at night;Yes;No;7;6;6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;2;2;0;2;2;0;0;1;1;3;3;2;2;1;3;3;4;0.4;6;NA
vCHaYUC7y3rGqq9dqgj8dq;67945792;230;2019-09-15T23:01:39;09e64ba2-65e6-4f40-abce-cea94c616d2c;NA;No;38;Pelele Street;No;No;Twice a week;Yes;Appears clean;Appears clean;Aboabo;NA;NA;NA;NA;NA;NA;NA;0.5;NA;NA;0;0;0;0;NA;1;Sales agent;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;12.09.2019;B;A;B;A;B;B;B;A;B;B;A;B;B;A;B;B;Solid waste management;NA;NA;Asokore Mampong Municipal;Yes;Yes;Shared meter connection;Self employee/Business;NA;NA;No;NA;No;1;0;1;Charcoal;Yes;NA;Yes;Primary (P 1-6);Rent;Would recommend;NA;1574165699794.jpg;1568548413600.jpg;NA;No;No;Elsewhere;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;0;0;Some;Married;Yes;NA;14;1;2;0;Chemicals;0;Sawdust;NA;0;NA;1;Yes;Yes;other;NA;Yes;NA;NA;Yes;Yes;Yes;Stored at public place and collected b a company;NA;NA;NA;70;Yes;0;NA;2;NA;0;NA;0;NA;1;NA;2;NA;3;NA;1;NA;2;NA;1;NA;0;NA;2;NA;2;1;2;1;2;3;1;2;NA;Female;Yes;No;3.60E+14;Concrete;NA;Water seal/Flushing toilet Pipe ventilation Window/Vent holes;0;0;NA;1;0;1;1;No;Piped water, piped to public tap/standpipe;Piped water, piped to public tap/standpipe;2019-09-12T07:49:40.027Z;0;5;10;Yes;Elsewhere;NA;No;Yes;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I use a bucket at night;Yes;No;6;5;9;4;NA;Yes;NA;NA;NA;Tenant, and household toilet is not available in this house;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2;1;1;0;1;3;0;2;1;0;2;1;2;3;3;1;2;0.6;9;60
vCHaYUC7y3rGqq9dqgj8dq;70987487;407;2019-10-13T19:29:29;47bc2b65-97c1-474d-a125-a19fe61c3b41;NA;Yes;32;Extension  public toilet;Yes;Yes;Twice a week;No;Visible feces;Appears clean;Aboabo;NA;NA;NA;NA;NA;NA;NA;0.5;NA;NA;0;0;0;0;NA;1;Sales agent;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;12.10.2019;A;B;A;B;A;B;A;B;B;A;A;A;B;A;B;A;Job and security;NA;NA;Asokore Mampong Municipal;No;Yes;Shared meter connection;Self employee/Business;NA;NA;No;NA;No;0;2;0;Charcoal;Yes;NA;No;Primary (P 1-6);Rent;Would recommend;NA;NA;1570899555459.jpg;NA;NA;No;In own yard/plot;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;0;0;None;Single and never married;Don't Know;NA;15;1;1;0;NA;0;Sawdust;NA;0;NA;1;Don't Know;Yes;Concrete;NA;Yes;NA;NA;Yes;Yes;Yes;Stored at household and collected by a private individual;NA;NA;NA;30;No;0;NA;0;NA;0;NA;0;NA;0;NA;1;NA;0;NA;0;NA;0;NA;0;NA;0;NA;1;NA;0;0;1;1;1;1;3;1;NA;Female;No;No;3.60E+14;Ceremic;NA;Pipe ventilation Window/Vent holes Water seal/Flushing toilet;0;0;NA;1;0;1;1;No;Sachet water;Piped water, piped to public tap/standpipe;2019-10-12T16:43:25.417Z;0;20;3;Yes;Elsewhere;NA;Yes;No;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I hold it in;Yes;No;4;4;5;4;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;2;2;0;0;3;3;0;3;2;3;3;3;3;3;1;3;0;0.066666667;1;30
vCHaYUC7y3rGqq9dqgj8dq;63017198;105;2019-07-26T16:39:14;efc18066-8c59-4fb0-b79c-6230674fe70d;NA;Yes;NA;Bronkong;No;No;NA;NA;Appears dirty or sandy/made of dirt;Appears dirty or sandy/made of dirt;Afrancho;NA;NA;NA;NA;NA;NA;NA;0.5;NA;NA;0;0;0;0;NA;1;Sales agent;0;NA;NA;NA;NA;NA;NA;Neighbour;0;0;1;0;0;NA;Yes;Yes;26.07.2019;A;A;A;A;B;B;A;A;B;A;B;A;A;A;B;A;NA;NA;NA;Suame Municipal;Yes;Yes;NA;NA;NA;NA;Yes;NA;NA;NA;NA;NA;NA;Yes;NA;Yes;NA;NA;Would recommend;NA;NA;1564150768594.jpg;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;No children <5 years present;NA;Yes;NA;NA;NA;2;NA;Chemicals;NA;NA;NA;NA;NA;NA;Yes;NA;Concrete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;1;NA;0;NA;1;NA;0;NA;0;NA;1;NA;0;NA;0;NA;0;NA;1;NA;0;0;1;0;0;1;1;0;NA;Female;Yes;NA;3.60E+14;Ceremic;Tiles;Water seal/Flushing toilet;0;0;NA;0;0;1;0;Yes;NA;NA;2019-07-26T14:01:22.867Z;0;50;NA;Yes;Elsewhere;NA;Yes;Yes;NA;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I use a bucket at night;NA;NA;4;4;7;5;NA;Yes;NA;NA;NA;Tenant, and household toilet is not available in this house;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;0;2;3;3;2;3;3;3;1;1;0;0.066666667;1;NA
vCHaYUC7y3rGqq9dqgj8dq;58188916;11;2019-06-13T16:43:15;9306d7d7-3a09-41cf-87c3-1ba912001f86;NA;No;40;Brokrong;No;No;Twice a week;Yes;Appears clean;Appears clean;Afrancho;NA;NA;NA;NA;NA;0.5;NA;0.5;NA;NA;0;1;0;0;NA;1;Friend Sales agent;0;NA;NA;NA;NA;NA;NA;Friend;0;1;0;0;0;NA;Yes;Yes;13.06.2019;B;B;A;B;B;A;A;A;A;B;A;B;A;B;A;A;Solid waste management;NA;NA;Suame Municipal;Yes;Yes;Household meter connection;Casual worker/piece work;NA;NA;No;NA;No;0;1;0;LPG;Yes;NA;Yes;Junior Secondary (P 7-9);Own;Would recommend;NA;1569089941665.jpg;1560416650874.jpg;NA;No;NA;In own dwelling;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;1;0;None;Married;Yes;NA;15;2;1;0;Chemicals;0;Sawdust;NA;0;NA;1;Yes;Yes;other;NA;Yes;Don’t Know;NA;Yes;Yes;Yes;Taken outside the compound to a disposal site by househld members;NA;NA;NA;NA;Yes;0;NA;2;NA;1;NA;3;NA;1;NA;3;NA;3;NA;3;NA;3;NA;0;NA;0;NA;3;NA;0;3;0;3;3;4;4;3;NA;Female;Yes;No;3.60E+14;Concrete;NA;Water seal/Flushing toilet Pipe ventilation Window/Vent holes;0;0;NA;1;0;1;1;Yes;Sachet water;Piped water, piped into dwellings;2019-06-13T08:37:56.138Z;0;30;0;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;VIP latrine;Flush or pour-flush toilet to septic tank;NA;NA;No, I use a bucket at night;Yes;Yes;5;5;6;7;NA;Yes;NA;NA;NA;Tenant or otherwise cannot build household toilet here;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;2;2;0;0;1;2;3;2;0;0;0;0;3;3;4;4;0;0.666666667;10;30
vCHaYUC7y3rGqq9dqgj8dq;58188922;12;2019-06-13T16:43:20;a6c1643b-4515-4558-a005-faccd91d9716;NA;No;22;Brokong;No;No;Twice a week;Yes;Appears clean;Appears clean;Afrancho;NA;NA;NA;NA;NA;NA;NA;0.5;NA;NA;1;0;0;0;NA;0;Family member;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;13.06.2019;B;A;B;B;B;A;B;A;B;B;A;B;B;B;A;A;Road;NA;NA;Suame Municipal;Yes;No;Household meter connection;Casual worker/piece work;NA;NA;No;NA;No;0;1;0;LPG;Yes;NA;Yes;Senior Secondary;Rent;Would recommend;NA;1569091138755.jpg;1560419542068.jpg;NA;No;No;Elsewhere;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;1;1;No children <5 years present;Single and never married;Yes;NA;12;1;2;0;NA;0;Sawdust;NA;0;NA;1;Don't Know;Yes;other;NA;Yes;NA;NA;No;Yes;No;Taken outside the compound to a disposal site by househld members;NA;NA;NA;0;Yes;0;NA;0;NA;2;NA;1;NA;2;NA;NA;NA;0;NA;0;NA;3;NA;NA;NA;0;NA;3;NA;NA;NA;2;3;3;3;3;3;NA;Male;Yes;No;3.60E+14;Ceremic;NA;Water seal/Flushing toilet Window/Vent holes;0;0;NA;0;0;1;1;Yes;Sachet water;Piped water, piped to public tap/standpipe;2019-06-13T09:24:22.612Z;0;60;10;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I use a bucket at night;Yes;No;4;2;3;2;NA;Yes;NA;NA;NA;Tenant or otherwise cannot build household toilet here;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;3;3;0;0;3;1;1;1;NA;3;3;0;NA;3;3;3;NA;NA;NA;90
vCHaYUC7y3rGqq9dqgj8dq;58189090;14;2019-06-13T16:44:40;074cd55f-a3fd-4c48-87f8-69835dfc71a3;NA;No;52;Bronkong;No;No;Twice a week;Yes;Appears clean;Appears clean;Afrancho;NA;NA;NA;NA;NA;NA;NA;0.5;NA;NA;1;0;0;0;NA;1;Family member Sales agent;0;NA;NA;NA;NA;NA;NA;None;0;0;0;1;0;NA;Yes;Yes;13.06.2019;B;A;B;B;B;A;B;A;A;A;B;A;A;B;A;A;Waste management;NA;NA;Suame Municipal;Yes;No;Shared meter connection;Formal employee (Government);NA;NA;No;NA;No;0;1;0;Charcoal;Yes;NA;Yes;Refuse to answer;Own;Would recommend;NA;1569090559536.jpg;1560421703433.jpg;NA;No;NA;Elsewhere;Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo/iron sheets);Finished (parquet/polished wood/tiles/cement/carpet/terrazzo);0;1;2;No children <5 years present;Married;Yes;NA;10;1;2;0;NA;0;Sawdust;NA;0;NA;1;Don't Know;Yes;other;NA;Yes;NA;NA;Yes;Yes;No;Taken outside the compound to a disposal site by househld members;NA;NA;NA;NA;Yes;0;NA;0;NA;0;NA;0;NA;2;NA;0;NA;0;NA;2;NA;0;NA;0;NA;1;NA;1;NA;NA;NA;1;3;3;3;3;3;NA;Male;Yes;No;3.60E+14;Ceremic;NA;Water seal/Flushing toilet Window/Vent holes;0;0;NA;0;0;1;1;Yes;Sachet water;Piped water, piped to public tap/standpipe;2019-06-13T09:57:42.570Z;0;20;10;Yes;Elsewhere;NA;NA;Yes;No;Yes;More than once a day;Per use;NA;Yes;Flush or pour-flush toilet to septic tank;Flush or pour-flush toilet to septic tank;NA;NA;No, I hold it in;Yes;No;8;0;5;2;NA;Yes;NA;NA;NA;Household toilet is available but does not function;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;4;4;0;0;3;3;0;1;3;3;1;3;3;2;3;3;NA;0.133333333;2;120
